labeled_ratio,mean,median,std,min,max,p25,p75
0.24907749077490776,0.6020619672747829,0.5735052390847819,0.19037095769420795,0.24569743064696992,0.9617346938775511,0.45564677978471085,0.7328216374269005
0.26752767527675275,0.7452080584693891,0.7648979591836734,0.15141106699358095,0.3865800865800866,0.976190476190476,0.6448979591836734,0.8537414965986394
0.2859778597785978,0.7650161285279716,0.7803030303030303,0.12669141660490466,0.43701956673654785,0.9583333333333334,0.7051587301587301,0.8522012578616351
0.3044280442804428,0.8131776538151398,0.8311688311688312,0.12911369967624337,0.5519151948729413,1.0,0.754591836734694,0.9102564102564102
0.32287822878228783,0.8145899071392665,0.8325825825825826,0.12921667286925242,0.5128942486085343,1.0,0.7438492063492064,0.9129251700680272
0.3413284132841328,0.81552028289806,0.8196687370600414,0.11393487900341535,0.6094489981785064,1.0,0.744047619047619,0.8666666666666667
0.35977859778597787,0.8405921415874087,0.8624999999999999,0.10952772421911922,0.5802031509121062,1.0,0.7746031746031745,0.9126984126984127
0.37822878228782286,0.8442185109754079,0.8476190476190475,0.09862105194100133,0.63010374832664,1.0,0.7766233766233767,0.8956043956043955
0.3966789667896679,0.827740315106555,0.8227969348659004,0.10755086361165332,0.5781746031746031,1.0,0.7779831932773109,0.8787878787878788
0.4151291512915129,0.8212378268308983,0.8513867085295657,0.11441628395315653,0.549813258636788,1.0,0.7746031746031746,0.8857142857142857
0.43357933579335795,0.8202195507027001,0.8542785535266738,0.10864014362009822,0.49845410628019315,1.0,0.788961038961039,0.8859649122807017
0.45202952029520294,0.8389783639432226,0.86112493777999,0.10655107523438989,0.5247835497835498,1.0,0.8551587301587301,0.8859649122807018
0.470479704797048,0.8160666048253004,0.8505747126436782,0.1250509412083485,0.49792070674423616,1.0,0.7654151404151404,0.8888888888888888
0.488929889298893,0.8240291467461702,0.8546099290780143,0.1009303859249551,0.5326719576719576,0.9821428571428572,0.7838108595471849,0.8722222222222222
0.507380073800738,0.8250400992150096,0.8399521970950542,0.09910236748402514,0.533219954648526,0.9821428571428572,0.7959558823529412,0.8802521008403361
0.525830258302583,0.8296277194747446,0.8440170940170939,0.09653520214233292,0.6339140534262486,0.9682539682539683,0.7959558823529412,0.8917233560090703
0.544280442804428,0.8144025404921252,0.8288113695090439,0.11584899492332511,0.46304901447758584,0.9821428571428572,0.7817927170868347,0.8865546218487395
0.5627306273062731,0.83328263820465,0.8388278388278388,0.0833129259641218,0.66203007518797,1.0,0.7874458874458875,0.8754251700680272
0.5811808118081181,0.838116123304186,0.8555555555555555,0.09331873959538974,0.5467328723907672,1.0,0.7999999999999999,0.8787878787878788
0.5996309963099631,0.8531327613606885,0.8634920634920634,0.08703648992827724,0.6491560726854844,1.0,0.7845319634703196,0.9150793650793649
0.6180811808118081,0.8217651244720281,0.8305555555555556,0.08360441903678945,0.6584510727367869,1.0,0.7746031746031745,0.8655913978494623
0.6365313653136532,0.833798452408691,0.8555555555555555,0.09673355829003538,0.5697845804988662,1.0,0.7843537414965986,0.8834586466165413
0.6549815498154982,0.8195806405406734,0.858187134502924,0.12458185424376657,0.3847794931926259,1.0,0.777281746031746,0.8833333333333333
0.6734317343173432,0.8328214104047498,0.8551587301587301,0.08793644282977375,0.6115451058472169,1.0,0.7807692307692307,0.8809523809523809
0.6918819188191881,0.8241431575586724,0.8277777777777778,0.10272887213643665,0.4949677306820164,1.0,0.7847222222222222,0.8734126984126983
0.7103321033210332,0.8387194828228478,0.8400383141762452,0.09203070404949099,0.6313020703777007,1.0,0.7801587301587302,0.8864468864468864
0.7287822878228782,0.8519731397692898,0.856060606060606,0.08801987175577052,0.609116878217048,1.0,0.8188365001172881,0.8779761904761905
0.7472324723247232,0.8433077636609869,0.8555555555555555,0.10065688952261684,0.49353741496598635,1.0,0.8019047619047619,0.8888888888888888
0.7656826568265682,0.8382442424825989,0.8412698412698414,0.09568506733635808,0.6316316000084243,1.0,0.7864450127877238,0.9047619047619048
0.7841328413284133,0.8481890486335948,0.8627450980392157,0.11855930550288042,0.38097018229996954,1.0,0.8278320023661638,0.9093537414965986
0.8025830258302583,0.8441309359413245,0.8529251700680271,0.10827668993519615,0.4807923169267707,1.0,0.8069444444444444,0.9150793650793649
