precision,recall
0.0471976401179941,1.0
0.05198180636777128,1.0
0.05206638464041653,1.0
0.052083333333333336,1.0
0.052100293064148484,1.0
0.060053211706575446,0.9875
0.06012176560121765,0.9875
0.06014465169394747,0.9875
0.060167555217060166,0.9875
0.06019047619047619,0.9875
0.07288765088207985,0.98125
0.07309124767225327,0.98125
0.07312529110386586,0.98125
0.0732276119402985,0.98125
0.07326178254783014,0.98125
0.07329598506069095,0.98125
0.0885566417481311,0.9625
0.08876080691642652,0.9625
0.08886324293133295,0.9625
0.08906882591093117,0.9625
0.10729312762973352,0.95625
0.1074438202247191,0.95625
0.10759493670886076,0.95625
0.10774647887323943,0.95625
0.13119026933101652,0.94375
0.13176265270506107,0.94375
0.1321084864391951,0.94375
0.1550632911392405,0.91875
0.15555555555555556,0.91875
0.15588547189819724,0.91875
0.1875,0.9
0.18823529411764706,0.9
0.18848167539267016,0.9
0.21428571428571427,0.8625
0.21461897356143078,0.8625
0.21495327102803738,0.8625
0.21528861154446177,0.8625
0.215625,0.8625
0.215962441314554,0.8625
0.21630094043887146,0.8625
0.21664050235478807,0.8625
0.24953095684803,0.83125
0.2504708097928437,0.83125
0.2509433962264151,0.83125
0.2813186813186813,0.8
0.2803532008830022,0.79375
0.2809734513274336,0.79375
0.309462915601023,0.75625
0.31025641025641026,0.75625
0.3110539845758355,0.75625
0.35119047619047616,0.7375
0.3522388059701492,0.7375
0.376271186440678,0.69375
0.378839590443686,0.69375
0.38144329896907214,0.69375
0.4075471698113208,0.675
0.44052863436123346,0.625
0.4424778761061947,0.625
0.4444444444444444,0.625
0.4696969696969697,0.58125
0.4720812182741117,0.58125
0.489010989010989,0.55625
0.49171270718232046,0.55625
0.4888888888888889,0.55
0.4875,0.4875
0.5100671140939598,0.475
0.5220588235294118,0.44375
0.5259259259259259,0.44375
0.5537190082644629,0.41875
0.5648148148148148,0.38125
0.5959595959595959,0.36875
0.6020408163265306,0.36875
0.6373626373626373,0.3625
0.6385542168674698,0.33125
0.6463414634146342,0.33125
0.6756756756756757,0.3125
0.6666666666666666,0.2875
0.6666666666666666,0.2625
0.6666666666666666,0.2375
0.6607142857142857,0.23125
0.6666666666666666,0.225
0.6792452830188679,0.225
0.7391304347826086,0.2125
0.7619047619047619,0.2
0.7560975609756098,0.19375
0.7692307692307693,0.1875
0.8055555555555556,0.18125
0.7941176470588235,0.16875
0.8064516129032258,0.15625
0.84,0.13125
0.8260869565217391,0.11875
0.85,0.10625
0.8823529411764706,0.09375
0.9230769230769231,0.075
1.0,0.06875
1.0,0.0625
1.0,0.05625
1.0,0.0375
1.0,0.03125
1.0,0.01875
1.0,0.0125
1.0,0.00625
1.0,0.0
