precision,recall
0.0471976401179941,1.0
0.049019607843137254,1.0
0.05158341495266079,0.9875
0.054910242872228086,0.975
0.058530986993114,0.95625
0.06395595086827616,0.94375
0.07012622720897616,0.9375
0.07576543850544888,0.9125
0.08246828143021914,0.89375
0.09174311926605505,0.875
0.10248901903367497,0.875
0.11384111384111384,0.86875
0.12695492180312787,0.8625
0.14179894179894179,0.8375
0.16043425814234016,0.83125
0.1800818553888131,0.825
0.20093457943925233,0.80625
0.22202797202797203,0.79375
0.24366471734892786,0.78125
0.26609442060085836,0.775
0.28132387706855794,0.74375
0.3,0.7125
0.31179775280898875,0.69375
0.3217665615141956,0.6375
0.3412969283276451,0.625
0.35384615384615387,0.575
0.36929460580912865,0.55625
0.38009049773755654,0.525
0.39903846153846156,0.51875
0.42408376963350786,0.50625
0.4426229508196721,0.50625
0.46107784431137727,0.48125
0.4605263157894737,0.4375
0.4557823129251701,0.41875
0.4925373134328358,0.4125
0.4959349593495935,0.38125
0.5258620689655172,0.38125
0.5277777777777778,0.35625
0.5533980582524272,0.35625
0.5670103092783505,0.34375
0.6,0.31875
0.6097560975609756,0.3125
0.6125,0.30625
0.6712328767123288,0.30625
0.6956521739130435,0.3
0.7058823529411765,0.3
0.7384615384615385,0.3
0.7301587301587301,0.2875
0.7288135593220338,0.26875
0.7368421052631579,0.2625
0.7321428571428571,0.25625
0.7407407407407407,0.25
0.75,0.225
0.7209302325581395,0.19375
0.7435897435897436,0.18125
0.7368421052631579,0.175
0.75,0.16875
0.7941176470588235,0.16875
0.7741935483870968,0.15
0.7586206896551724,0.1375
0.75,0.13125
0.76,0.11875
0.782608695652174,0.1125
0.8095238095238095,0.10625
0.8,0.1
0.8235294117647058,0.0875
0.8,0.075
0.7692307692307693,0.0625
0.8333333333333334,0.0625
0.8181818181818182,0.05625
0.8888888888888888,0.05
0.8333333333333334,0.03125
0.8,0.025
1.0,0.0125
1.0,0.00625
1.0,0.0
