precision,recall
0.0471976401179941,1.0
0.04799040191961608,1.0
0.049474335188620905,1.0
0.049489638107021346,1.0
0.052100293064148484,1.0
0.05559416261292564,1.0
0.05970149253731343,1.0
0.059723777528928705,1.0
0.05974607916355489,1.0
0.06406124093473006,0.99375
0.06964520367936924,0.99375
0.07449316360207449,0.9875
0.08038914490527393,0.98125
0.0867148415786548,0.975
0.0867630700778643,0.975
0.09371221281741234,0.96875
0.09376890502117362,0.96875
0.10119047619047619,0.95625
0.10139165009940358,0.95625
0.10152621101526212,0.95625
0.10673352435530085,0.93125
0.10681003584229391,0.93125
0.11583924349881797,0.91875
0.12738301559792028,0.91875
0.13714285714285715,0.9
0.14388489208633093,0.875
0.15195530726256984,0.85
0.16646115906288533,0.84375
0.16666666666666666,0.84375
0.18132611637347767,0.8375
0.18157181571815717,0.8375
0.19054652880354506,0.80625
0.1908284023668639,0.80625
0.19743178170144463,0.76875
0.20654044750430292,0.75
0.21626617375231053,0.73125
0.22954091816367264,0.71875
0.23,0.71875
0.24622030237580994,0.7125
0.2620689655172414,0.7125
0.27450980392156865,0.7
0.29411764705882354,0.6875
0.3022598870056497,0.66875
0.3181818181818182,0.65625
0.32781456953642385,0.61875
0.3274647887323944,0.58125
0.3486590038314176,0.56875
0.3625,0.54375
0.36086956521739133,0.51875
0.3789954337899543,0.51875
0.3904761904761905,0.5125
0.395,0.49375
0.40625,0.4875
0.4245810055865922,0.475
0.45454545454545453,0.46875
0.4620253164556962,0.45625
0.48322147651006714,0.45
0.5,0.44375
0.518796992481203,0.43125
0.544,0.425
0.5333333333333333,0.4
0.5299145299145299,0.3875
0.5495495495495496,0.38125
0.5596330275229358,0.38125
0.5631067961165048,0.3625
0.5757575757575758,0.35625
0.5789473684210527,0.34375
0.5869565217391305,0.3375
0.5977011494252874,0.325
0.6071428571428571,0.31875
0.6172839506172839,0.3125
0.64,0.3
0.6351351351351351,0.29375
0.6619718309859155,0.29375
0.6571428571428571,0.2875
0.6617647058823529,0.28125
0.6615384615384615,0.26875
0.671875,0.26875
0.7,0.2625
0.711864406779661,0.2625
0.7142857142857143,0.25
0.7115384615384616,0.23125
0.7083333333333334,0.2125
0.7272727272727273,0.2
0.7073170731707317,0.18125
0.6756756756756757,0.15625
0.7142857142857143,0.15625
0.7352941176470589,0.15625
0.75,0.15
0.7419354838709677,0.14375
0.7333333333333333,0.1375
0.7142857142857143,0.125
0.6666666666666666,0.1
0.6818181818181818,0.09375
0.631578947368421,0.075
0.6470588235294118,0.06875
0.7333333333333333,0.06875
0.7142857142857143,0.0625
0.6923076923076923,0.05625
0.75,0.05625
0.7272727272727273,0.05
0.7,0.04375
0.6666666666666666,0.0375
0.8333333333333334,0.03125
0.75,0.01875
1.0,0.01875
1.0,0.0125
1.0,0.00625
1.0,0.0
