labeled_ratio,mean,median,std,min,max,p25,p75
0.24907749077490776,0.4032531499686871,0.38001443001443,0.16220598980531045,0.07960526315789473,0.6578898225957048,0.29201228878648233,0.4953216374269006
0.26752767527675275,0.4641722266721193,0.4856063476753132,0.16856351796152508,0.15991983325316658,0.7583333333333333,0.326584836833284,0.5766687016687017
0.2859778597785978,0.5065157862134213,0.5853896103896103,0.17595064562915952,0.16547619047619047,0.8218253968253967,0.37516903313049355,0.6256533382583802
0.3044280442804428,0.5798827777844359,0.5819444444444444,0.17691622451583613,0.23386919734131045,1.0,0.4840428373037069,0.68718820861678
0.32287822878228783,0.6476646942014562,0.6521329365079365,0.1582685444715186,0.39316239316239315,0.9484126984126984,0.5320598794283005,0.8035714285714286
0.3413284132841328,0.6810795188709093,0.6936932215234102,0.13548008859390734,0.4254826254826255,0.9107142857142856,0.5963492063492063,0.7916666666666666
0.35977859778597787,0.7199660248185744,0.7197420634920635,0.12696130140489603,0.4936023746368574,1.0,0.6611471861471861,0.7633458646616541
0.37822878228782286,0.6410513189359937,0.657563025210084,0.15284949222875285,0.3717789723937265,0.907142857142857,0.5094836246734981,0.7771730914588058
0.3966789667896679,0.6979446380300768,0.725,0.1344889667888897,0.43436162343725365,0.9367346938775512,0.6040918553213634,0.8386699507389161
0.4151291512915129,0.7012155275257658,0.7089646464646464,0.12165878147994715,0.4804416839199448,1.0,0.623344074471894,0.7751683501683501
0.43357933579335795,0.65220219572082,0.6870548219287715,0.1412521139697392,0.34716553287981855,0.9087301587301586,0.5446534639225669,0.7440476190476191
0.45202952029520294,0.6378143908424958,0.6218253968253968,0.16310648910988906,0.41375079946508514,0.9484126984126984,0.49717680693290445,0.7592490842490842
0.470479704797048,0.6663917783105727,0.668964368964369,0.1399629262637419,0.42353500540000943,0.9166666666666666,0.5740740740740741,0.7122209317331268
0.488929889298893,0.6898491011094204,0.6933747412008281,0.11818830989644592,0.43475783475783475,0.8824786324786326,0.6047631242849161,0.7671957671957672
0.507380073800738,0.6533372524367674,0.6200501253132831,0.12814969733875967,0.43917474682180563,0.9583333333333334,0.5608465608465608,0.7763736263736263
0.525830258302583,0.6531841201494618,0.6323343323343322,0.13095733892661465,0.406633098583563,0.8690476190476188,0.5540146909827761,0.7628136200716845
0.544280442804428,0.6594451433553263,0.6578513997868836,0.13862967389354777,0.35933813138782084,0.907142857142857,0.5728535353535353,0.7378356605800214
0.5627306273062731,0.5996646581082493,0.6114190157668419,0.14291166920784673,0.35662598372682397,0.8468537414965986,0.4873373373373373,0.7166305916305916
0.5811808118081181,0.6513722934992566,0.6626623376623376,0.15369142692320079,0.36871748699479795,1.0,0.5248677248677249,0.7384920634920634
0.5996309963099631,0.65949168187195,0.6318181818181818,0.15595555000305678,0.4110510688365464,0.9379251700680272,0.540588336783989,0.7519230769230769
0.6180811808118081,0.6102982211077127,0.6203943299807961,0.13158324326791948,0.35286979526109963,0.907142857142857,0.5361982191250484,0.6839725545390569
0.6365313653136532,0.6389584430185026,0.6229024943310657,0.13416227780428946,0.39062049062049065,0.9107142857142857,0.542755991285403,0.7120370370370369
0.6549815498154982,0.6560116483958309,0.6330555555555555,0.12320380569126684,0.42655122655122657,0.897142857142857,0.5964133089133089,0.6833333333333332
0.6734317343173432,0.605051466020127,0.6370370370370371,0.13147006404283054,0.34838684604492565,0.8955582232893156,0.5342705145336725,0.7013888888888888
